id,earmark_id,raw_recipient,standardized_recipient
1,6,Ocanit,""
3,12,Rescue Technolgies Corporation,""
4,18,APHIS Hawaii,""
5,25,University of Hawaii - University Affliated Research Center,""
6,32,Alaka'i Consulting and Engineering,""
8,57,SUMMA Technology Inc.,""
11,77,"Clemson, Auburn, Umass-Dartmouth, Georgia Tech, Cornell, NC State, UC Davis, Philadelphia University",""
13,83,Westar Aerospace & Defense Group Inc.,""
14,85,Kappler Inc.,""
15,85,Ventana Research Corporation,""
16,91,Clean Earth Technologies,""
17,97,LaBarge Inc.,""
18,98,Crosslink,""
20,101,DRS Sustainment Systems Inc.,""
21,102,Energizer Battery Manufacturing Inc.,""
22,103,Intermec Technologies Corporation,""
23,104,Westar Aerospace & Defense Group Inc.,""
24,119,MPRI,""
25,132,"Union and Lincoln Parishes, Louisiana",""
26,146,APHIS Louisiana,""
27,155,"SteriFx, Inc.",""
28,157,Stratus Systems Inc.,""
29,164,Maine Marine Manufacturing,""
30,167,Applied Thermal Sciences,""
31,174,Portland Valve LLC,""
32,185,"Scientific Solutions, Inc",""
33,186,Maine Marine Manufacturing,""
34,187,Wild Blueberry Commission of Maine,""
37,197,eV Products,""
38,198,Curtiss-Wright Corporation Electro-Mechanical Division (EMD),""
40,206,Accipiter Systems,""
42,214,Converteam,""
43,223,Ajax Tocco,""
44,223,"Sea Box, Inc.",""
46,223,"Army Tank Automotive Research , Development and Engineering Center",""
47,223,South Carolina Research Authority,""
48,224,ACIN Camden Center for Entrepreneurship in Technology (Drexel University and Sarnoff Corporation partnership),""
49,226,L-3 Communications Ilex Systems,""
50,227,Gestalt LLC,""
52,230,Phacil Inc.,""
53,242,Air Force Research Laboratory,""
54,245,Air Force Research Laboratory,""
55,248,Navy Sea Systems Command,""
57,258,PAR Government Systems Corporation,""
60,268,Fontana Water Company,""
61,268,West Valley Water District,""
62,274,City of San Bernardino,""
64,295,Auburn University,""
65,315,Manufacturing 21 Coalition,""
66,316,Mobile Medical International Corp.,""
68,325,Institute of Systems Biology,""
69,326,Outdoor Research,""
70,327,Tacoma Trauma Trust,""
71,332,Innovative Emergency Management Inc.,""
72,340,Pennington Biomedical Resesarch Center,""
73,369,Alfalight Inc.,""
74,375,Fairbanks Morse Engine,""
75,378,Sand County Foundation,""
76,381,ConjuGon,""
78,398,Intelligent Automation Corporation,""
81,423,Curtis and Elizabeth Anderson Cancer Institute - Memorial Health Unversity,""
82,426,Volvo Powertrain of North America,""
83,428,MPRI,""
85,442,EarthData International Inc.,""
86,444,DRS Power Technology Inc.,""
87,446,Akonni Inc.,""
88,446,CUBRC Inc.,""
89,447,Defense Microelectronics Activity,""
91,450,Thales Communicaitons Inc.,""
92,455,L-3 Link Simulation and Training,""
93,458,Carbon-Carbon Advanced Technologies Inc.,""
94,470,Recon Optical Inc.,""
95,476,Recon Optical Inc.,""
96,477,Recon Optical Inc.,""
97,490,American Metalcasting Consortium,""
98,528,Nevada National Guard,""
99,536,Blue Mountain Energy,""
101,538,DRS Electronic Warfare and Network Systems,""
102,538,DRS Electronic Warfare and Network Systems,""
103,538,Atlantic Microwave,""
104,538,DRS Electronic Warfare and Network Systems,""
106,550,"Center for Nonproliferation Studies, Monterey Institute for International Affairs",""
108,557,Quallion,""
109,567,Arkansas State University,""
110,593,Arkansas State University,""
111,610,National Wild Turkey Federation,""
112,615,Arkansas State University,""
113,615,Florida A&M University,""
114,616,Innovative Signals Technology LLC,""
115,634,Advanced Diamond Technologies Inc.,""
116,644,Scot Incorporated,""
117,661,VLOC Incorporated,""
118,663,Windermere,""
119,671,Green Hills Software,""
120,674,H. Lee Moffitt Cancer Center and Research Institute,""
100,536,Southwest Gas,Southwest Gas
79,416,University of Georgia,University of Georgia
67,322,Washington State University,Washington State University
56,258,Radiance Technologies,Radiance Technologies
41,210,Ibis Tek,Ibis Tek
105,542,Nevada Cancer Institute,Nevada Cancer Institute
2,9,BAE Systems,BAE Systems
51,229,BAE Systems,BAE Systems
9,73,Miltec Corporation,Miltec Corp
12,79,Miltec Corporation,Miltec Corp
59,259,Michigan State University,Michigan State University
19,101,DRS Technologies Inc.,DRS Technologies
77,395,Clemson University,Clemson University
36,195,PPG Industries Inc.,PPG Industries
7,43,Northrop Grumman,Northrop Grumman
35,189,University of Maine,University of Maine
63,289,University of Alabama,University of Alabama
10,75,Hexcel Corporation,Hexcel Corp
122,679,Sikorsky Aircraft Corporation,""
123,695,Engineering & Software System Solutions Inc,""
124,696,Utah State University Research Foundation,""
125,700,National Center for Manufacturing Sciences,""
126,707,Chang Industry Inc.,""
127,708,Brush-Wellman Inc.,""
128,708,Brush-Wellman Inc.,""
129,708,"Brush Resources, Inc.",""
130,709,L-3 Communications West,""
131,710,Kennecott Utah Copper Corporation,""
132,710,Kennecott Utah Copper Corporation,""
133,710,Vforge,""
134,711,Kennecott Utah Copper Corporation,""
135,711,Electromech,""
136,713,Georgia Aerospace Systems,""
137,716,Marine Corps Logistics Command,""
138,724,Dimensions International,""
139,730,HealtheState LLC,""
140,739,PolyTech Inc.,""
141,740,GE Global Research,""
142,741,Dupont Forest Herbicides,""
143,742,Dimensions International,""
144,743,Batson-Cook Construction,""
145,746,Techsphere Systems International Inc.,""
146,752,Phoebe Putney Health System,""
147,754,Amethyst Technologies LLC,""
